Fila,Nombre,Tipo,Coordenadas
803,Lubricantes San Miguel,UBICACION_COMPARTIDA,"-32.48589, -58.2428"
801,Latitud Pilates,UBICACION_COMPARTIDA,"-32.48613, -58.24143"
1337,Aqua Shop C del U,UBICACION_COMPARTIDA,"-32.4861031, -58.2413579"
607,Activate Indumentaria Deportiva,UBICACION_COMPARTIDA,"-32.48621, -58.24021"
796,Royy Studio,UBICACION_COMPARTIDA,"-32.48616, -58.24016"
917,Oscar Bikes,UBICACION_COMPARTIDA,"-32.48611, -58.2399"
984,il piccolo - pastas artesanales,UBICACION_COMPARTIDA,"-32.48589, -58.23997"
1146,Medical Esthetic,UBICACION_COMPARTIDA,"-32.48609, -58.2397944"
1165,Giovanni Coiffeur,UBICACION_COMPARTIDA,"-32.4862091, -58.2399092"
1318,Zeta Servicios Ferretería Industrial,UBICACION_COMPARTIDA,"-32.4858939, -58.2399733"
1531,Lineal Estudio de Pilates,UBICACION_COMPARTIDA,"-32.486229, -58.240224"
425,Spiazzi Muebles,UBICACION_COMPARTIDA,"-32.4859, -58.23966"
490,Estudio Cero - Arquitectura e Interiorismo,UBICACION_COMPARTIDA,"-32.48603, -58.23926"
534,Optica Social (9 de Julio),UBICACION_COMPARTIDA,"-32.48609, -58.23956"
169,Pimienta Negra,UBICACION_COMPARTIDA,"-32.48585, -58.23919"
418,Zona Informatica,UBICACION_COMPARTIDA,"-32.48595, -58.239"
555,Floreria Ikebana Envío a Domicilio,UBICACION_COMPARTIDA,"-32.48603, -58.23925"
871,Turismo San Jorge de I. Vitton,UBICACION_COMPARTIDA,"-32.48619, -58.23887"
1345,MatMar Motor Service,UBICACION_COMPARTIDA,"-32.4862049, -58.239022"
224,Su pan,UBICACION_COMPARTIDA,"-32.48584, -58.23788"
897,Farmacia Moderna,UBICACION_COMPARTIDA,"-32.48575, -58.23811"
1488,Pretto Jorge Antonio - Odontólogo,UBICACION_COMPARTIDA,"-32.486011, -58.2380568"
69,Electro Integral Sh de Bertti Miriam y Caire Delio,UBICACION_COMPARTIDA,"-32.4859162, -58.2352833"
368,RENAPER CDR Concepcion del Uruguay,UBICACION_COMPARTIDA,"-32.48583, -58.23554"
394,Dr. Carolina Tobar García Institute (ISFD),UBICACION_COMPARTIDA,"-32.486, -58.23572"
502,Pintureria Uruguay,UBICACION_COMPARTIDA,"-32.48611, -58.23544"
89,Escribania Negri,UBICACION_COMPARTIDA,"-32.4860611, -58.2343802"
247,Carrito Super Lomo,UBICACION_COMPARTIDA,"-32.48608, -58.23465"
304,Centro Bioquimico A y F Ansaldi - Carballo - Cabrera,UBICACION_COMPARTIDA,"-32.4862, -58.23435"
486,Escribania Negri,UBICACION_COMPARTIDA,"-32.48614, -58.23441"
575,Cerrajería Cerrojo de Guillermo Waterloo,UBICACION_COMPARTIDA,"-32.48597, -58.23469"
758,Laboratorio Bioquímico Ansaldi,UBICACION_COMPARTIDA,"-32.48616, -58.23436"
940,Agüero Arquitectura,UBICACION_COMPARTIDA,"-32.48607, -58.23445"
1272,Cerrajería Cerrojo de Guillermo Waterloo,UBICACION_COMPARTIDA,"-32.4859042, -58.2346843"
13,Librería Mafalda,UBICACION_COMPARTIDA,"-32.486108, -58.2338169"
428,Librería Mafalda,UBICACION_COMPARTIDA,"-32.48611, -58.23382"
1128,Mauricio Carrizo,UBICACION_COMPARTIDA,"-32.4857842, -58.2340568"
71,Electro Aguirre Iluminación,UBICACION_COMPARTIDA,"-32.4862147, -58.2334616"
334,Dieciocho Salón de Profesionales,UBICACION_COMPARTIDA,"-32.48615, -58.23366"
219,Flor de postre: Pastelería,UBICACION_COMPARTIDA,"-32.48598, -58.23282"
286,Farmacia Alberdi,UBICACION_COMPARTIDA,"-32.48616, -58.23287"
333,Peluquería Viviana Carolina Estilista,UBICACION_COMPARTIDA,"-32.48577, -58.23284"
686,Pacha Tour,UBICACION_COMPARTIDA,"-32.48615, -58.23302"
971,BAWS,UBICACION_COMPARTIDA,"-32.48588, -58.23286"
1042,Agarrame como puedas,UBICACION_COMPARTIDA,"-32.48583, -58.23289"
74,ESTUDIO JURÍDICO •PIERINA MERCURIO ABOGADA•,UBICACION_COMPARTIDA,"-32.4858424, -58.232701"
91,Nichele Verónica,UBICACION_COMPARTIDA,"-32.4858424, -58.232701"
476,Estudio Jurídico Pierina Mercurio Abogada,UBICACION_COMPARTIDA,"-32.48585, -58.23263"
935,iZone,UBICACION_COMPARTIDA,"-32.48578, -58.23269"
256,Marlo pizza y pasta,UBICACION_COMPARTIDA,"-32.48618, -58.23215"
365,Policia De Entre Ríos,UBICACION_COMPARTIDA,"-32.48594, -58.23175"
980,Al Spiedo,UBICACION_COMPARTIDA,"-32.48616, -58.23211"
80,Estudio Juridico - Saucedo Laura,UBICACION_COMPARTIDA,"-32.4857577, -58.2312621"
346,Barbería On Fire,UBICACION_COMPARTIDA,"-32.48591, -58.23167"
818,Estudio Jurídico Laura A. Saucedo,UBICACION_COMPARTIDA,"-32.48576, -58.23126"
43,Charly Fabre PROPERTY MANAGEMENT,UBICACION_COMPARTIDA,"-32.4857518, -58.226039"
